seg	id	title	hw	url	evidence	note
S1	HW-1	eLLM elastic memory management (virtual tensor abstraction + ballooning)	8× NVIDIA A100 80GB connected by NVLink, 1 TB host RAM (plus a second 2× L40S 48GB testbed)	https://arxiv.org/abs/2506.15155	"We evaluate eLLM and all baseline models on a server configured with eight NVIDIA A100 80GB GPUs and Intel(R) Xeon(R) Platinum 8369B CPU with 1 TB RAM. These GPUs are connected via NVLink thus don't have the PCIe contention when transferring data between GPU and CPU."	the paper's core mechanism is explicitly a *host-memory balloon across GPUs* (CPU memory as extensible buffer), so the NVLink-connected multi-GPU testbed is load-bearing for its reported 2.32× decoding throughput and 3× batch-size claims, not incidental.
S1	HW-2	RedKnot long-context serving with SegPagedAttention	single 8-GPU server, 8× NVIDIA H800 80GB, plus four RDMA RoCE v2 NICs for the prefill/decode disaggregation experiments	https://arxiv.org/abs/2606.06256	"All experiments execute on one server equipped with 8 × NVIDIA H800 GPUs (80 GB HBM each, TDP 700 W, PCIe Gen5 × 16), two Intel Xeon Platinum 8468V CPUs (48 cores each, 96 cores / 192 threads total), and 2 TB DDR memory." and "Inter-node bandwidth for the PD experiments is provided by four RDMA RoCE v2 interfaces with a measured unidirectional throughput of ∼ 200 Gbps." and "All experiments run on a single 8-GPU node".	this paper is relevant to S1 because it *composes* a paged-attention variant (SegPagedAttention) with head-aware KV reuse; its 8-GPU/RDMA testbed is out of scope for the target rig.
S1	HW-3	vLLM hybrid block-size/hash-block-size assertion crash (DeepSeek-V4.1-Flash)	8× H100 80GB (HBM3), TP=8, EP=8, CUDA 13	https://github.com/vllm-project/vllm/issues/56396	"Hardware: 8 × H100 80GB (HBM3), CUDA 13" and "Python 3.12, TP=8, EP=8", with the deploy command containing "`--tensor-parallel-size 8`" and "`--enable-expert-parallel`".	the *defect* (OPEN-5) is a pure allocator/hashing logic bug and is model-shape-driven, not fundamentally multi-GPU; but the reproduction as filed requires an 8-GPU DeepSeek-V4.1-Flash deployment, so it cannot be reproduced on the target rig as written. The related open fix PR #56404 is likewise framed against that deployment.
S1	HW-4	SGLang hybrid Mamba state-pool sizing from `max_running_requests`	2 nodes × 8 NVIDIA H20-3e, TP16 / EP16	https://github.com/sgl-project/sglang/issues/33004	"Environment:" / "- Model: Kimi-K3 + Kimi-K3-DSpark, MXFP4-AFP8" / "- Hardware: 2 nodes × 8 NVIDIA H20-3e" / "- Parallelism: TP16 / EP16"	multi-node + TP16, so the observed numbers (and the reported `mamba_full_memory_ratio=0.074` resolution) cannot be reproduced single-GPU. The *question* is nonetheless single-GPU-relevant (it is about a static partition ratio), which is why it also appears as ABANDONED-4.
S1	HW-5	GLM-5.3-Flash kpool 32-page split under a hybrid block_size of 1152	8× AMD MI325X (ROCm, gfx942)	https://github.com/vllm-project/vllm/issues/55280	"- 8× MI325X" (from the issue's "## Environment (runtime)" section).	reports that with "the hybrid aligner lands on `cache_config.block_size = 1152`, the kpool indexer virtually splits 288-entry storage into **32-entry** paged-MQA pages. MTP decode then dies with `Memory access fault by GPU node-N`". This is the clearest filed instance of the heterogeneous-page-size problem where one logical page is split into many backend pages — the mechanism CLOSED-4 introduced — failing under a real hybrid model, but only on an 8-GPU ROCm node. No class came back empty. All four classes have at least four evidenced rows. Two caveats about evidence depth, recorded honestly rather than padded: 1. **Closed-unmerged PR rows were dropped for want of a stated reason.** I identified many closed-unmerged vLLM PRs in this subsection via the HTML issue-search endpoint (`is:pr is:unmerged label:kv-cache-manager`, and `is:pr is:unmerged "page size"` / `"block size"`). Examples retrieved as titles only: #46841 "[Bugfix][Core] Fix request-bound KV cache sizing" (CLOSED unmerged), #4762 "[Core][Bugfix]: fix prefix caching for blockv2" (CLOSED unmerged), #54949 "[XPU] env to control block size alignment for mamba" (CLOSED unmerged), #54735 "[Bugfix][DCP] Align SimpleCPU offload hybrid geometry" (CLOSED unmerged), #55622, #55134, #56320, #56223, #56222, #56221, #56205. For #46841 I retrieved the PR page and its rendered comment bodies and found **only** bot/AI text ("You have reached your Codex usage limits for code reviews." and "This pull request has merge conflicts that must be resolved before it can be merged. Please rebase the PR, @lesj0610 ."), not a human closure rationale. For #4762 I retrieved the PR body but no closure comment. Per hard rule 3 I did not emit ABANDONED rows for these, because I could not retrieve a verbatim stated reason. The blocker is structural: GitHub lazy-loads PR conversation bodies, and the REST API (`/repos/vllm-project/vllm/issues/{n}/comments`) returned HTTP 403 "API rate limit exceeded for 50.7.158.236" on every attempt across the whole session. 2. **#53178 and #42571 also lack a retrievable closure reason.** Both are `stateReason=NOT_PLANNED` in the page metadata, but the fetched payloads contain no maintainer comment explaining the closure (for #53178 only the RFC body is present; for #42571 only the environment block). They are omitted from ABANDONED for the same reason. #42571 ("[Bug]: KV Block double free when using eager SimpleCPUOffloading + Sliding window attention", created 2026-05-13, closed 2026-09-12) sits in the same 2026-09-12 bulk-closure batch as ABANDONED-5 and is likely also a stale-bot closure, but the page does not show the bot comment, so I am not asserting that. Queries tried for the classes where I searched hardest:
S10	HW-1	semi-PD — disaggregated computation with unified storage (server-class multi-GPU, NVLink, cross-node)	Four separate server platforms of 8× datacenter GPUs each, with NVLink inside nodes and 200 Gbps cross-node links. The paper's own motivation also requires ≥2 GPUs to deploy a single 8B model pair.	https://arxiv.org/abs/2504.19867	"The experiments involve four platforms. Server A: one node with eight NVIDIA A100 80GB SXM4 GPUs connected with pairwise NVLink [20]. Server B: four nodes with each equipped by eight NVIDIA A100 40GB SXM4 GPUs. The cross-node bandwidth is 200 Gbps. Server C: one node with eight NVIDIA H200 141GB SXM5 GPUs connected with pairwise NVLink [20]. Server D: one node with eight NVIDIA A800 80GB SXM4 GPUs connected with pairwise NVLink [20]."	
S10	HW-2	HMA-Serve — memory-heterogeneous prefill/decode across two different vendors' accelerators	At least two accelerators from different vendors on a RoCE fabric (an HBM-based NVIDIA GPU plus a GDDR-based non-NVIDIA device).	https://arxiv.org/abs/2606.29986	"We evaluate every system on real silicon: NVIDIA A100-80GB on the HBM side, a four-chip Tenstorrent Blackhole p150 mesh (TT × 4) on the GDDR side, over a 100 Gb RoCE fabric, all serving through vLLM 0.19.1". The cross-vendor premise is stated in the abstract: "Pushed to its most economical form, MemHA serving is inherently cross-vendor, since the best-suited chip for each phase may come from a different vendor."	
S10	HW-3	3DLS — 3D logic-stacked chiplet architecture to physically isolate layer-wise KV transfer traffic	A logic-on-logic 3D-stacked chiplet package with vertical die-to-die interconnects, TP up to 16, and a shared lateral D2D fabric of 512 GB/s. Evaluated by simulator, not on a GPU.	https://arxiv.org/abs/2607.01617	"We propose 3DLS, a logic-on-logic 3D-stacked chiplet architecture that separates traffic classes by routing KV-cache transfers through vertical interconnects while preserving decode-side TP collectives on the lateral D2D fabric." and "We evaluate 3DLS against two planar baselines using a trace-driven in-house simulator that models TP, layer-wise compute and communication, and prefill-to-decode KVT." and "The experiment uses OPT-175B [8], TP=16, and 512 GB/s D2D bandwidth."	
S10	HW-4	Prefill-as-a-Service — cross-datacenter KV transport over commodity Ethernet between separate clusters	Multiple loosely coupled clusters across datacenters, with standalone compute-dense prefill clusters and local PD clusters, and an internal 1T-parameter hybrid model.	https://arxiv.org/abs/2604.15039	"We present Prefill-as-a-Service (PrfaaS), a cross-datacenter serving architecture that selectively offloads long-context prefill to standalone, compute-dense prefill clusters and transfers the resulting KVCache over commodity Ethernet to local PD clusters for decode." and its evaluation: "In a case study using an internal 1T-parameter hybrid model, a PrfaaS-augmented heterogeneous deployment achieves 54% higher serving throughput and 64% lower P90 TTFT than a homogeneous PD baseline".	
S10	HW-5	Mamba1 NIXL P/D accuracy validation — requires an 8×H100 box	8× NVIDIA H100, plus a 52B model, for the P_TP × D_TP sweep.	https://github.com/vllm-project/vllm/pull/45019	"Accuracy parity (GSM8K, 5-shot, exact_match strict-match) across the full P_TP × D_TP sweep on an 8×H100 box" with "Model: ai21labs/AI21-Jamba2-Mini (Mamba1)".	the arXiv Atom API returned HTTP 429 on all 7 attempts from this host's shared IP. All paper evidence was therefore obtained from `https://arxiv.org/abs/<id>` abstract pages and `https://arxiv.org/html/<id>v1` full-text pages instead, which returned HTTP 200. No paper row rests on an API response. **arXiv listing / author page and abstract pages actually retrieved (HTTP 200)** - `https://arxiv.org/a/qin_r_1` (author listing, used to resolve the Prefill-as-a-Service ID) - `https://arxiv.org/abs/2504.19867`, `https://arxiv.org/html/2504.19867v1` - `https://arxiv.org/abs/2604.15039` - `https://arxiv.org/abs/2606.07684` - `https://arxiv.org/abs/2606.29986`, `https://arxiv.org/html/2606.29986v1` - `https://arxiv.org/abs/2607.01617`, `https://arxiv.org/html/2607.01617v1` - `https://arxiv.org/abs/2606.29708`, `https://arxiv.org/abs/2607.28150` (verified to exist; SmartGen and the heterogeneous-serving survey were read as abstracts only and not emitted as rows) **GitHub search API (`api.github.com/search/issues`)** 8. `repo:vllm-project/vllm disaggregation in:title label:wontfix` — total 0 (vLLM does not use a `wontfix` label for this area) 9. `repo:vllm-project/vllm "layerwise"&per_page=30&sort=created&order=desc` — total 526, mostly unrelated (weight-reload/quantization "layer" matches) 10. `repo:vllm-project/vllm nixl state:closed reason:not_planned&per_page=30&sort=created&order=desc` — total 85 11. `repo:vllm-project/vllm "kv transfer" failure&per_page=30&sort=created&order=desc` — total 1009 12. `repo:sgl-project/sglang disaggregation state:closed reason:not_planned&per_page=30&sort=created&order=desc` — total 4 13. `repo:LMCache/LMCache layerwise&per_page=30&sort=created&order=desc` — total 271 14. `repo:vllm-project/vllm "hidden states" disaggregation&per_page=30&sort=created&order=desc` — total 26 15. `repo:vllm-project/vllm "hidden states" transfer state:closed reason:not_planned&per_page=20&sort=created&order=desc` — total 57 16. `repo:vllm-project/vllm "prefill/decode ratio" OR "prefill-decode ratio"&per_page=20&sort=created&order=desc` — total 28 17. `repo:ai-dynamo/dynamo disaggregation state:closed reason:not_planned&per_page=20&sort=created&order=desc` — total 25 18. `https://api.github.com/rate_limit` — used to confirm that the `core` bucket was exhausted on this shared IP while `search` still had quota; this is why no per-issue `api.github.com/repos/.../issues/N` calls succeeded (all returned HTTP 403 rate-limit) and why issue state was read from the GitHub HTML payload instead. **GitHub HTML pages actually retrieved and read (HTTP 200)**
