seg	id	title	who	url	closure	quote	date	evidence
S1	ABANDONED-1	`--prefix-match-unit` documentation issue — withdrawn by its own author	vLLM issue #54607, author sanjeevrg89 (self-closed)	https://github.com/vllm-project/vllm/issues/54607	closed as not planned (`stateReason=NOT_PLANNED`), closed by the **author himself**, not a maintainer and not a bot.	"Closing this. The premise was wrong and the remaining justification did not survive checking either."	created 2026-08-31, closed 2026-09-01	READ BODY
S1	ABANDONED-2	"Equal block sizes" hybrid crash report — retracted by its author	vLLM issue #54199, author eak7824 (self-retracted)	https://github.com/vllm-project/vllm/issues/54199	closed as not planned (`stateReason=NOT_PLANNED`); title itself is "RETRACTED — duplicate of #53142 (my \"equal block sizes\" premise was wrong; see closing comment)". Closed by the author.	"**Retracting this report — the central premise is wrong, and #53142's mechanism explains our crash after all.**"	created 2026-08-28, closed 2026-08-29	READ BODY
S1	ABANDONED-3	Align-mode retention-checkpoint visibility issue — closed by author as redundant	vLLM issue #53595, author jschmied (a CONTRIBUTOR), self-closed	https://github.com/vllm-project/vllm/issues/53595	closed as not planned (`stateReason=NOT_PLANNED`), closed by the author; explicitly **not** a stale-bot closure and not a maintainer rejection.	"Closing: this was redundant with the PR that fixes it and with the PR that already describes the same invisibility."	created 2026-08-24, closed 2026-08-24	READ BODY
S1	ABANDONED-4	Sizing the SGLang hybrid Mamba state pool from explicit `max_running_requests` — rejected as not planned	SGLang issue #33004 (feature request); maintainers marked it not planned; reporter is bash99 (Ben Rood)	https://github.com/sgl-project/sglang/issues/33004	closed as **not planned** (`stateReason=NOT_PLANNED`) — a maintainer-side disposition, not a stale bot.	the only closure-rationale text retrievable from the page is the reporter's reaction, quoted character-for-character: "I am disappointed that this issue was marked as 'not planned'." The maintainer's own stated reason was **not** present in the retrieved page payload.	created 2026-07-31, closed 2026-07-31	READ BODY
S1	ABANDONED-6	Naive round-robin block allocation for sliding-window layers — explicitly designed out	vLLM maintainers, in the shipped hybrid KV cache design doc	https://raw.githubusercontent.com/vllm-project/vllm/main/docs/design/hybrid_kv_cache_manager.md	**"by design"** — the technique was considered and deliberately not adopted. This is a closed design decision, not a merged feature.	"For sliding window attention layers, a naive implementation for memory allocation is to allocate `sliding_window_size` blocks and fill in the blocks in a round-robin way. But this naive implementation is not compatible with prefix caching so we didn't pick this design. In vLLM, we allocate different blocks for different tokens and free blocks that are outside the sliding window."	doc states it was written against commit `458e74` (the doc carries no date in the retrieved copy; the linked commit is the reference point)	READ BODY
S1	ABANDONED-7	AVMP's own limitations undercut its headline numbers	AVMP authors, arXiv 2605.22416 (paper's own limitations/future-work section)	https://arxiv.org/abs/2605.22416	**paper whose own limitations section undercuts the technique** (rule 7 class). Not a withdrawn paper — but its central production claim is explicitly labelled unmeasured.	"We frame the production impact of AVMP as a hypothesis to be tested, not a measured outcome."	submitted 21 May 2026	READ BODY
S1	ABANDONED-8	Attempted revert of the HMA GPU-side KV events feature — revert PR closed unmerged	vllm-agent (automated agent account, head branch `auto-revert/pr-37688`); original feature by hickeyma	https://github.com/vllm-project/vllm/pull/39658	**PR closed unmerged.** The page's embedded `pullRequest` metadata reports verbatim `"state":"CLOSED"`, `"mergedTime":null`, `"mergedBy":null`, `"closedTime":"2026-05-20T06:28:01Z"`. The target of the revert, #37688 (CLOSED-8), remains MERGED.	no human closure comment was retrievable from the fetched page (GitHub lazy-loads PR conversation bodies, and the GitHub REST API returned HTTP 403 rate-limited for this host for the entire session). The only verbatim artifact retrievable is the commit message from the PR's `.patch`, copied character-for-character: "This reverts commit cc07dad789e9ae3f02ab6a4794800b8c1cc240c6." Per the hard rules this row is therefore reported with an **explicitly missing stated reason** rather than a substituted quote.	created 2026-04-13, closed 2026-05-20	READ BODY
S10	ABANDONED-1	layerwise KV transfer in PD disaggregation (vLLM) — measured worse than bulk transfer, closed unmerged	chenqianfzh (ByteDance IAAS), vLLM PR #12523	https://github.com/vllm-project/vllm/pull/12523	PR closed unmerged (state CLOSED, `"mergedTime": null`, `"mergedBy": null`), 2025-03-19T05:14:33Z	"the layerwise method performs worse as it needs to retrieves layer_number tensors, so it requires more overhead. I will continue to work on the solution that the consumer starts to receive the KV cache once the producer completes a layer."	created 2025-01-28T20:09:22Z, closed 2025-03-19T05:14:33Z	READ BODY - Corroborating numbers from the same PR body, same page (all quoted verbatim from the PR description): the author posted both benchmarks. Layerwise: "Mean TTFT (ms): 167.27 Median TTFT (ms): 158.20 P99 TTFT (ms): 241.40". Existing bulk transfer, "in the same machine (an AWS machine with A10G GPU)": "Mean TTFT (ms): 75.70 Median TTFT (ms): 73.06 P99 TTFT (ms): 97.90". Reported throughput is effectively unchanged between the two runs ("Total Token throughput (tok/s): 1571.41" vs "1570.67"). **My own reading, not a quote:** the reported delta is therefore concentrated in TTFT rather than throughput. The PR was also a declared 2-GPU PyNccl design — `LayerwisePyNcclConnector` with `"kv_rank":0,"kv_parallel_size":2` on producer and `"kv_rank":1,"kv_parallel_size":2` on consumer — which independently puts the technique in HW_RULED_OUT territory.
S10	ABANDONED-2	"layer-by-layer pipelining" as a vLLM roadmap item — never checked off, roadmap closed not planned	vLLM maintainers (roadmap RFC issue #10818, CC list includes youkaichao, WoosukKwon, comaniac, rkooo567)	https://github.com/vllm-project/vllm/issues/10818	closed as not planned (`stateReason: NOT_PLANNED`)	"- [ ] [Perf] layer-by-layer pipelining (#12523)"	created 2024-12-02T03:01:11Z	READ BODY
S10	ABANDONED-3	Changing `kv_load_failure_policy` default from "recompute" to "fail" — maintainers agreed, stale bot closed it	vLLM issue #32200 (RFC author, CC @sdavidbd @wseaton @tlrmchlsmth @hasB4K)	https://github.com/vllm-project/vllm/issues/32200	closed as not planned (`stateReason: NOT_PLANNED`), and **the only closure text is automated stale-bot text, not a maintainer decision**	"This issue has been automatically marked as stale because it has not had any activity within 90 days. It will be automatically closed if no further activity occurs within 30 days. Leave a comment if you feel this issue should remain open. Thank you!" followed by "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant. Thank you!"	created 2026-01-12T18:28:21Z; stale-bot comments dated 2026-05-21 and 2026-06-21	READ BODY
