seg	id	title	who	url	quote	missing	evidence
S1	OPEN-1	Per-group (decoupled) page size for Mamba/attention hybrids — fp8 KV cache yields no capacity gain	vLLM issue #55196 (RFC), open	https://github.com/vllm-project/vllm/issues/55196	"`--kv-cache-dtype fp8` roughly doubles KV cache capacity on attention-only models (measured 2.00x), but on Mamba/GDN + attention hybrids it gives 1.84x at 32k context and 1.00x (no gain) at short context." and "Root cause is the known hybrid page-pinning behavior (#37121, #40696): the Mamba state is not quantized by `--kv-cache-dtype` and all groups share one uniform page, so the bf16 Mamba page pins bytes-per-block and the fp8 attention page cannot shrink the pool." and "Fix is parity work: quantize the Mamba state too (SGLang already does this at int8) and/or decouple per-group page size (SGLang/TRT-LLM/llama.cpp already use separate pools)."	a per-group page size (or quantized Mamba state) in vLLM. The RFC states the mechanical blocker verbatim: "`get_uniform_page_size` asserts one page across all groups". No merged PR implements per-group pools.	READ BODY
S1	OPEN-2	Packing heterogeneous KV-cache pages for hybrid models is unmerged and default-disabled	vLLM PR #56156 (open, by meenchen)	https://github.com/vllm-project/vllm/pull/56156	"It lets hybrid attention/state-cache models retain exact per-layer page sizes using vLLM's existing packed UniformTypeKVCacheSpecs allocator instead of padding every layer to one physical page size." and "adds the generic, default-disabled has_layerwise_kv_cache() capability" and "No quantization configuration enables the capability in this PR."	a merged, enabled path. The PR body also states a deliberately excluded sub-feature verbatim: "Automatic manager-block optimization is intentionally excluded. Reusing a larger manager block requires a separately validated physical subpage layout; the current PR keeps the manager block equal to the supported kernel page." So "exact per-layer page sizes" is proposed, not shipped.	READ BODY
S1	OPEN-3	Prefix caching is ~0% for Mamba hybrids when the prompt is shorter than the aligned block size	vLLM issue #40696, open	https://github.com/vllm-project/vllm/issues/40696	"When serving Mamba-hybrid models like Qwen3.5, vLLM sets the attention block size to **528 tokens** to align with the mamba page size" and "Prompt with **< 528 tokens**: **0% prefix cache hit** — the entire prefix must be recomputed every request" and "For comparison, standard transformer models use block_size=16, so even a 100-token prompt gets 6 fully cached blocks (96 tokens cached)."	any mechanism that gives sub-block-aligned cache hits for prompts shorter than the forced-alignment block size. The related partial-hit work (CLOSED-7) addresses partial blocks via `hash_block_size`, but the issue is still open and the alignment floor remains.	READ BODY
S1	OPEN-4	KV-event emission granularity for hybrid Mamba+Attention is still an open PR	vLLM PR #43258 (open, by vanshilshah97)	https://github.com/vllm-project/vllm/pull/43258	PR title, retrieved from the page: "v1/engine: emit prefix-cache KV-events at hash_block_size granularity for hybrid Mamba+Attention models"; the page's embedded metadata reports `"state":"OPEN"`.	KV events are still emitted at block granularity for hybrids, so external KV consumers cannot see the finer `hash_block_size` boundaries that CLOSED-7 introduced internally. The PR is open (and appears in the `is:pr is:unmerged "page size"` result set).	READ BODY
S1	OPEN-5	Hybrid block sizes can invert the hash/block relationship and crash the offload connector	vLLM issue #56396, open	https://github.com/vllm-project/vllm/issues/56396	"Note `block_size (8) < hash_block_size (32)` — the call asks `resolve_block_hashes` to view 32-token-granularity hashes at a *finer* 8-token granularity, but the function only supports the coarsening direction (`block_size >= hash_block_size`, enforced by the divisibility assert). With 8 < 32 the assert `8 % 32 == 0` can never hold, so the crash is deterministic on the first request."	support for a per-group block size smaller than the global `hash_block_size` (the DeepSeek-V4.1-Flash layout has "MLA full-attention group @ block_size 32 + SWA/circular-buffer group @ block_size 8"). An open fix PR exists (#56404) but issue #56396 is open.	READ BODY
S1	OPEN-6	The `min_num_layers` hybrid grouping heuristic is an acknowledged in-tree FIXME	vLLM maintainers, via a FIXME shipped in vLLM 0.29.0; fix proposed but unmerged in PR #56445	https://github.com/vllm-project/vllm/pull/56445	from the shipped source `vllm/v1/core/kv_cache_utils.py:1506`, verbatim: "FIXME(Chen): At the moment of writing this code (2025-06-02), all open-source hybrid model follows a n:1 pattern between different attention types (e.g., Gemma3 5:1 between sw and full, LLaMA4 3:1 between local and full), so we can use the \"1\" in the n:1 pattern as the group size, which is the minimum number of layers among all attention types. Need a better strategy if we want to support more complex patterns (e.g., 20 full + 30 sw, where the group size should be 10)."	a grouping algorithm that does not add dummy padding layers. The open fix PR states the cost verbatim: "For hybrid models with uneven layer counts across attention types (e.g. 20 full + 30 sw, or 10 full + 16 sw with DFlash), the existing min_num_layers heuristic caused up to 60% KV cache memory waste on dummy padding layers." The runtime warning is still shipped (the linked bug #46462 logs, verbatim: "Add 6 padding layers, may waste at most 60.00% KV cache memory").	READ BODY
S1	OPEN-7	Dual-pool capacity rebalancing for SSM vs attention state is unshipped	vLLM issue #55196 (open) and the AVMP paper's own future-work section	https://arxiv.org/abs/2605.22416	"Current inference engines handle this poorly. Unified pools pad SSM states to attention page sizes, wasting up to 7.3x capacity. Static dual pools cannot adapt when prompt distributions shift between requests." and, on what remains unbuilt, "Implementation is pure Python; Triton integration is future work."	a shipped engine-side implementation. vLLM has no per-group pool split; SGLang's `--mamba-full-memory-ratio` is a *static* startup partition (see ABANDONED-4).	READ BODY
S1	OPEN-8	Application-directed prefix checkpoints for Mamba/hybrid caching	vLLM issue #55697 (RFC), open	https://github.com/vllm-project/vllm/issues/55697	RFC title retrieved from the page, verbatim: "[RFC]: Application-Directed Prefix Checkpoints for Mamba / Hybrid Prefix Caching"; the page's embedded metadata reports `"state":"OPEN"`. The RFC body was retrieved (page reports 5 embedded comment blocks) but the substantive argument is carried in the title's proposal: letting the application declare where Mamba state checkpoints should be materialised, rather than relying only on block-aligned or Marconi-detected boundaries.	any shipped API for application-directed checkpoint placement. The related in-tree knob `enable_mamba_fine_grained_prefix_cache` is documented verbatim as "Off by default" and only covers the EAGLE/MTP shared-prefix junction.	READ BODY
S1	OPEN-9	Mapping multiple full-attention layers to a single page	vLLM PR #35703 (open, by peakcrosser7)	https://github.com/vllm-project/vllm/pull/35703	PR title retrieved from the page: "[Hybrid] Map multiple FullAttn layers to a single page"; the page's embedded metadata reports `"state":"OPEN"`. A later comment on issue #45238 corroborates the gap verbatim: "The block-granularity floor is untouched: when block_size > shared_prefix_len there is no boundary inside the prefix for either mechanism to checkpoint at — e.g. block_size 2096 on the 122B/397B vs a typical 1–2k-token system prompt. That's where this issue and [Hybrid] Map multiple FullAttn layers to a single page #35703's packing compose: packing brings boundaries inside the prefix, checkpoint coverage makes them reusable."	a merged multi-layer-per-page mapping, which is the mechanism that would restore block boundaries inside short prompts for wide hybrids.	READ BODY
S1	OPEN-10	SGLang encoder-decoder shared boundary page is double-freed when page_size > 1	SGLang issue #38840, open	https://github.com/sgl-project/sglang/issues/38840	issue title retrieved from the page, verbatim: "[Bug] Encoder-decoder KV cache: shared boundary page is double-freed when page_size > 1"; the page's embedded metadata reports `"state":"OPEN"`.	correct ownership accounting for a page shared across the encoder/decoder boundary when the pool page size exceeds one token — i.e. the SGLang allocator's heterogeneous/shared-page refcount path.	READ BODY
