seg	id	title	url	evidence	detail
S1	CLOSED-1	PagedAttention (canonical fragmentation answer)	https://arxiv.org/abs/2309.06180	READ BODY	The canonical statement that block-paged KV management near-eliminates fragmentation waste. Verbatim from the abstract: "we propose PagedAttention, an attention algorithm inspired by the classical virtual memory and paging techniques in operating systems. On top of it, we build vLLM, an LLM serving system that achieves (1) near-zero waste in KV cache memory and (2) flexible sharing of KV cache within and across requests to further reduce memory usage." Retained as the canonical reference because the "is paging the right primitive" question is still live (see CLOSED-12 / ABANDONED-7).
S1	CLOSED-2	SGLang RadixAttention mem pool (canonical prefix-reuse pool)	https://arxiv.org/abs/2312.07104	READ BODY	Canonical reference for the SGLang memory-pool design in this subsection. Verbatim from the abstract: "The runtime accelerates execution with novel optimizations like RadixAttention for KV cache reuse and compressed finite state machines for faster structured output decoding."
S1	CLOSED-3	Hybrid KV cache manager — single pool, many attention types	https://raw.githubusercontent.com/vllm-project/vllm/main/docs/design/hybrid_kv_cache_manager.md	READ BODY	The shipped design for one shared pool across heterogeneous layer types. Verbatim: "We use a single memory pool for all layer types. The memory pool is split into multiple blocks with the same page size." The doc defines the three coordinators and states the shipped constraint verbatim: "**HybridKVCacheCoordinator**: Handles exactly two KV cache groups (must include one full‑attention group plus one other efficient‑attention group). Other cases are not implemented. You can disable prefix caching to use the KVCacheCoordinatorNoPrefixCache." Confirmed in the 0.29.0 tree: `vllm/v1/core/kv_cache_coordinator.py:591 class HybridKVCacheCoordinator`, plus `UnitaryKVCacheCoordinator` and `KVCacheCoordinatorNoPrefixCache`.
S1	CLOSED-4	Decouple kernel block size from KV page size	https://github.com/vllm-project/vllm/pull/24486	READ BODY	Merged PR #24486 ("[Hybrid]: Decouple Kernel Block Size from KV Page Size", author zhiyuan1i) closed issue #24280. The issue framed the problem verbatim: "in hybrid mamba/attention models the `KVCacheManager` requires the mamba and attention page sizes to match, which might cause large attention page sizes (672 tokens for nvidia/NVIDIA-Nemotron-Nano-9B-v2). On the other hand, the FlashInfer attention backend uses TRTLLM FMHA kernels for Blackwell, which require page size up to 128". The closing confirmation comment on #24280 reads verbatim: "Thanks @zhiyuan1i for merging #24486 :) I can confirm this solves the issue for nvidia/NVIDIA-Nemotron-Nano-9B-v2". The 0.29.0 tree still carries the resulting machinery: `kernel_block_size` in `vllm/v1/kv_cache_interface.py:264` with the assertion "Kernel block size {bs} must divide KV cache block size {spec.block_size}."
S1	CLOSED-5	No allocation past max_model_len in the V1 block manager	https://github.com/vllm-project/vllm/pull/10730	READ BODY	Page retrieved; PR metadata payload reports `"state":"MERGED"`. Title: "[V1] Do not allocate beyond the max_model_len" (WoosukKwon). GitHub lazy-loads PR conversation bodies, so the diff text was not in the retrieved payload; the merged state and title were read from the page's embedded `pullRequest` metadata. This is the V1 block-manager allocation-bound rule.
S1	CLOSED-6	LIFO block reuse order in the free pool	https://github.com/vllm-project/vllm/pull/51482	READ BODY	Page retrieved; metadata reports `"state":"MERGED"`. Title: "[BugFix][Core] free_blocks: restore prepend (LIFO) reuse order when prefix caching is off" (theminghuang). This settles the block-pool reuse-order question for the non-prefix-caching path.
S1	CLOSED-7	Partial (sub-block) prefix cache hits for hybrid models	https://github.com/vllm-project/vllm/issues/45702	READ BODY	RFC #45702 "[RFC]: Partial Cache Hits for Hybrid Models" is `stateReason=COMPLETED` (closed as completed), i.e. implemented. It states the problem verbatim: "For hybrid full-attention + Mamba models, the full-attention block size needs to be aligned with the Mamba state block size. This makes block size super large compared to before. Since vLLM prefix-cache matching is block-size granular, this coarse block size leads to suboptimal cache hit rates." and "This RFC proposes separating prefix-cache matching granularity from block size granularity. We introduce hash_block_size to allow to hit a partial cache block." The 0.29.0 tree confirms shipment: `vllm/v1/core/kv_cache_coordinator.py:84 hash_block_size: int,` and the validation "assert scheduler_block_size % hash_block_size == 0".
S1	CLOSED-8	GPU-side KV events for the hybrid memory allocator (HMA)	https://github.com/vllm-project/vllm/pull/37688	READ BODY	Page retrieved; metadata reports `"state":"MERGED"` and the page renders "Merged". Title: "[HMA] [KVEvent] Enable GPU-side KV events for HMA" (hickeyma). This is the allocator-side event plumbing for hybrid KV; its later attempted revert is ABANDONED-8.
S1	CLOSED-9	`--mamba-block-size` and `mamba_cache_mode align` shipped flag	https://github.com/vllm-project/vllm/pull/24486	READ BODY	Verified directly in the vLLM 0.29.0 source tree rather than from a PR page. `vllm/config/cache.py:177` defines `mamba_block_size: int | None = Field(default=None, gt=0)` with the docstring verbatim: "Size of a contiguous cache block in number of tokens for mamba cache. Can be set only when prefix caching is enabled. Value must be a multiple of 8 to align with causal_conv1d kernel." The CLI flag is registered at `vllm/engine/arg_utils.py:1293` (`"--mamba-block-size"`), gated by `vllm/config/vllm.py:2963 validate_mamba_block_size`, which raises "--mamba-block-size can only be set with --enable-prefix-caching". A neighbouring field documents the alignment purpose verbatim: "Optional override for mamba page size; used by hybrid mamba/attention models to ensure exact alignment with attention page size."
S1	CLOSED-10	Page-size unification / padding for heterogeneous layer types (the shipped allocator path)	https://raw.githubusercontent.com/vllm-project/vllm/main/vllm/v1/core/kv_cache_utils.py	READ BODY	The retrieved raw source of the shipped allocator contains the unification path. `def unify_kv_cache_spec_page_size(` is at line 1365 of the retrieved copy, and its docstring says verbatim: "If not same, unify the page size by increasing the block size of layers with smaller page size. Two cases cannot be unified by block size alone and pad their physical page to the maximum instead: Mamba layers, whose page size comes from state shapes and is independent of block size; and non-MLA attention layers whose page does not evenly divide the maximum (the padded page is read through a strided view)." The retrieved file contains 11 occurrences of `page_size_padded`, including the Mamba branch that pads to the maximum page. Scope limit, stated plainly: this row covers the **padding/alignment** path only. Exact per-layer (heterogeneous) page sizes are still proposed by the open PR #56156 ("It lets hybrid attention/state-cache models retain exact per-layer page sizes using vLLM's existing packed UniformTypeKVCacheSpecs allocator instead of padding every layer to one physical page size"), and its prerequisite #56155 is also still OPEN. Do not read this row as "heterogeneous page sizes are solved".
S1	CLOSED-11	Marconi-style shared-prefix admission for Mamba align mode	https://github.com/vllm-project/vllm/pull/37898	READ BODY	Page retrieved; the page's embedded PR metadata reports `"state":"MERGED"`. Full title as retrieved, verbatim: "[Hybrid] Marconi-style admission policy for hybrid cache" (author s3woz). Its effect is corroborated by a later retraction comment on vLLM #54199, verbatim: "the remaining value of option (a) is smaller than the issue suggested (~+12% hit rate / ~3% TTFT on this small-model rig...)" and, on the mitigations, verbatim: "current main (16282a9c4, with #37898): 40/64 (hits at block idx 1 = floor(1500/528)*528)". The 0.29.0 tree carries it: `vllm/v1/core/sched/scheduler.py:522` comment verbatim "Marconi shared-prefix junction: cache its state so sibling", and `vllm/v1/request.py:202` "hybrid/Mamba models when a shared prefix is detected (Marconi-style)."
S1	CLOSED-12	vAttention — contiguous virtual memory instead of paging	https://arxiv.org/abs/2405.04437	READ BODY	The canonical published counter-position to PagedAttention, still the reference for the "do we need paging" question. Verbatim from the abstract: "in trying to allocate physical memory at runtime, PagedAttention ends up changing the virtual memory layout of the KV cache from contiguous to non-contiguous. Such a design leads to non-trivial programming and performance overheads." and "vAttention is a simpler, portable, and performant alternative to PagedAttention: it supports various attention kernels out-of-the-box and improves LLM serving throughput by up to 1.23x compared to the use of PagedAttention-based kernels of FlashAttention and FlashInfer."
S1	CLOSED-13	Minima-KV — mixed-format paged attention on the exact target GPU	https://arxiv.org/abs/2608.23834	READ BODY	Published mixed-format paging result evaluated on the target researcher's exact accelerator class. Verbatim from the abstract: "Across separate, configuration-bound Qwen3.6-27B profiles on a single 96-GB NVIDIA RTX PRO 6000 Blackwell GPU, deployment accounting reports 18.3 KiB of attention KV per live token, corresponding to 3.50x compression relative to BF16 and 1.75x relative to FP8." Mechanism verbatim: "Recent and protected Anchor pages remain in FP8, while older non-anchor pages move to packed TQ3; every live-request page remains addressable. Format-specific kernels compute partial attention states and combine them through a globally normalized online-softmax merge, enabling direct heterogeneous decode without a cache-sized dense shadow."
S1	CLOSED-14	PersistentKV — decode directly over native page tables	https://arxiv.org/abs/2606.26666	READ BODY	Published page-aware scheduling study that executes over native block tables instead of repacking. Verbatim from the abstract: "PersistentKV maps work by KV-head group, executes directly over native page tables, and adds a compact workqueue schedule executing only non-empty row-KV-head-sequence-split tasks." Its own hedges are recorded in ABANDONED-7-adjacent notes; the headline result verbatim: "five held-out seeds improve mean wall decode-token throughput by 1.04x to 1.08x on B8 bimodal, uniform, and Zipf-like workloads, and by 1.40x on a B1 bucketed trace."
S1	CLOSED-15	llama.cpp KV defrag mechanism refactor	https://github.com/ggml-org/llama.cpp/pull/13988	READ BODY	Page retrieved; the page renders "Merged" and metadata reports `"state":"MERGED"`. Title: "kv-cache : refactor the update/defrag mechanism" (ggerganov). This is the shipped answer to defragmentation in llama.cpp's unified KV cache; it is the artifact behind why llama.cpp does not expose a user-facing defragmentation threshold as a tuning knob. PR conversation body was not retrievable (lazy-loaded), so the row rests on title + merged state.
S10	CLOSED-1	HMA is preserved by default for connectors that support it	https://github.com/vllm-project/vllm/pull/41847	READ BODY	PR #41847 (author chfeng-cs, title "[KV Transfer] Enable HMA by default for connectors that support it") is confirmed merged on the GitHub page and is visible in the local tree as `KVConnectorFactory.supports_hma_config`. The design was worked out in issue #41830, where the author wrote: "My plan is to add a config-level helper that resolves effective HMA support from KVTransferConfig, recursing into MultiConnector children, then use that in the auto-disable path." The shipped code was re-verified on live `main` at https://raw.githubusercontent.com/vllm-project/vllm/main/vllm/config/vllm.py (lines 2018-2024): `# Auto-disable HMA only when the connector config does not support it.` and `if not KVConnectorFactory.supports_hma_config(self.kv_transfer_config):`. Its warning text states the consequence: "hybrid SSM models (e.g. Jamba, Bamba) require HMA and will fail at startup without it; models with sliding window attention will run with reduced performance."
S10	CLOSED-2	`kv_load_failure_policy` ships defaulting to `fail`, and is documented	https://docs.vllm.ai/en/latest/features/nixl_connector_usage/	READ BODY	The NixlConnector Usage Guide carries a "KV Load Failure Policy" section stating: "`fail` (default): Immediately fail the request with an error when KV load fails. This prevents performance degradation by avoiding recomputation of prefill work on the decode instance." and "`recompute`: Recompute failed blocks locally on the decode instance. This may cause performance `jitter` on decode instances..." The shipped default was re-verified on live `main` at https://raw.githubusercontent.com/vllm-project/vllm/main/vllm/config/kv_transfer.py (line 103): `kv_load_failure_policy: Literal["recompute", "fail"] = "fail"` with the docstring "'fail': immediately fail the request with an error finish reason (default)". It is also present in the local tree `/tmp/kvsrc/vllm-main`. The dedicated RFC that asked for this change, issue #32200, was nonetheless closed `NOT_PLANNED` by the stale bot — see ABANDONED-3.
